Name,City,Country,Firm,Status,Year Built,Floors,Use,Antenna Height,Spire Height,Roof Height,Height,Architectural Style,Latitude,Longitude,Address,Architect,,,,
Willis Tower,"Chicago, IL",United States,"Skidmore, Owings & Merrill",Built,1974,108,Office,527.3 m,,442.1 m,442.1 ,International Style,41.8789,-87.6359,"233 S Wacker Dr, Chicago, IL 60606","Bruce Graham, Fazlur Rahman Khan",,,,
Trump International Hotel & Tower,"Chicago, IL",United States,"Skidmore, Owings & Merrill",Built,2009,98,Mixed use,,423.2 m,356.9 m,423.2 ,Modernism,41.8885,-87.6269,"401 N Wabash Ave, Chicago, IL 60611","Adrian Smith, Skidmore, Owings & Merrill",,,,
The St. Regis Chicago,"Chicago, IL",United States,Studio Gang; bKL Architecture,Built,2020,101,Mixed use,,,364.5 m,364.5 ,Contemporary,41.8893,-87.6253,"363 E Wacker Dr, Chicago, IL 60601","Jeanne Gang, Studio Gang Architects",,,,
Aon Center,"Chicago, IL",United States,Edward Durell Stone & Associates; Perkins+Will,Built,1973,83,Office,,,346.3 m,346.3 ,Modernism,41.8852,-87.6226,"200 E Randolph St, Chicago, IL 60601",Edward Durell Stone,,,,
875 North Michigan Avenue,"Chicago, IL",United States,"Skidmore, Owings & Merrill",Built,1969,100,Mixed use,457.2 m,,343.7 m,343.7 ,Modernism,41.8971,-87.6235,"875 N Michigan Ave, Chicago, IL 60611",Ludwig Mies van der Rohe,,,,
The Franklin,"Chicago, IL",United States,"Skidmore, Owings & Merrill",Built,1989,60,Office,,,270.1 m,270.1 ,Modernism,41.8816,-87.6354,"227 W Monroe St, Chicago, IL 60606",Solomon Cordwell Buenz,,,,
Two Prudential Plaza,"Chicago, IL",United States,Loebl Schlossman & Hackl,Built,1990,64,Office,,,279 m,279 ,Postmodernism,41.8856,-87.6225,"180 N Stetson Ave, Chicago, IL 60601",Loebl Schlossman & Hackl,,,,
One Chicago Square,"Chicago, IL",United States,Goettsch Partner; Hartshorne Plunkard Architecture,Built,2022,78,Residential,,,295.4 m,295.4 ,Contemporary,41.8969,-87.6251,"1 W Chicago Ave, Chicago, IL 60654","Goettsch Partners, Hartshorne Plunkard",,,,
311 South Wacker,"Chicago, IL",United States,Kohn Pedersen Fox Associates; HKS,Built,1990,65,Office,,,292.9 m,292.9 ,Modernism,41.8778,-87.6363,"311 S Wacker Dr, Chicago, IL 60606",Kohn Pedersen Fox,,,,
NEMA Chicago,"Chicago, IL",United States,Rafael Viñoly Architects,Built,2019,76,Residential,,,272.2 m,272.2 ,Contemporary,41.8748,-87.6244,"1200 S Indiana Ave, Chicago, IL 60605",Rafael Viñoly,,,,
900 North Michigan,"Chicago, IL",United States,Kohn Pedersen Fox Associates,Built,1989,66,Mixed use,,,265.5 m,265.5 ,Postmodernism,41.8993,-87.6259,"900 N Michigan Ave, Chicago, IL 60611",Ludwig Mies van der Rohe,,,,
Water Tower Place,"Chicago, IL",United States,Loebl Schlossman & Hackl,Built,1976,74,Mixed use,,,261.9 m,261.9 ,Postmodernism,41.8971,-87.6222,"835 N Michigan Ave, Chicago, IL 60611","Skidmore, Owings & Merrill",,,,
Aqua,"Chicago, IL",United States,Studio Gang Architects; Loewenberg + Associates,Built,2009,86,Mixed use,,,261.8 m,261.8 ,Contemporary,41.8869,-87.6227,"225 N Columbus Dr, Chicago, IL 60601","Jeanne Gang, Studio Gang Architects",,,,
Chase Tower,"Chicago, IL",United States,C.F. Murphy Associates,Built,1969,60,Office,,,259.1 m,259.1 ,Postmodernism,41.8794,-87.6363,"10 S Dearborn St, Chicago, IL 60603",Cesar Pelli,,,,
Park Tower,"Chicago, IL",United States,Lucien Lagrange & Associates,Built,2000,67,Mixed use,,257.3 m,251.2 m,257.3 ,Modernism,41.8974,-87.6224,"800 N Michigan Ave, Chicago, IL 60611",Lucien Lagrange Architects,,,,
One Bennett Park,"Chicago, IL",United States,Robert A.M. Stern,Built,2018,67,Residential,,256.9 m,255.2 m,256.9 ,Contemporary,41.8975,-87.6183,"514 N Peshtigo Ct, Chicago, IL 60611",Robert A. M. Stern Architects,,,,
Salesforce Tower,"Chicago, IL",United States,Pelli Clarke Pelli Architects; HKS Architects,Under construction,2023,60,Mixed use,,,254.6 m,254.6 ,Contemporary,41.8804,-87.6325,"333 W Wolf Point Plaza, Chicago, IL 60654",Pelli Clarke Pelli Architects,,,,
1000M,"Chicago, IL",United States,Helmut Jahn,Under construction,2024,74,Residential,,,253.6 m,253.6 ,Contemporary,41.8689,-87.6238,"1000 S Michigan Ave, Chicago, IL 60605",Helmut Jahn,,,,
Legacy at Millennium Park,"Chicago, IL",United States,"Solomon, Cordwell, Buenz and Associates",Built,2010,71,Residential,,,249.6 m,249.6 ,Modernism,41.8816,-87.6233,"60 E Monroe St, Chicago, IL 60603",Solomon Cordwell Buenz,,,,
110 North Wacker,"Chicago, IL",United States,Goettsch Partners,Built,2020,55,Office,,,248.2 m,248.2 ,Contemporary,41.8822,-87.6364,"110 N Wacker Dr, Chicago, IL 60606",Goettsch Partners,,,,
300 North LaSalle,"Chicago, IL",United States,Pickard Chilton Architects,Built,2009,60,Office,,,239.1 m,239.1 ,Modernism,41.8888,-87.6337,"300 N LaSalle Dr, Chicago, IL 60654","Kenneth Franzheim, Skidmore, Owings & Merrill",,,,
Three First National Plaza,"Chicago, IL",United States,"Skidmore, Owings & Merrill",Built,1981,57,Office,,,233.8 m,233.8 ,Postmodernism,41.8812,-87.6338,"70 W Madison St, Chicago, IL 60602","Skidmore, Owings & Merrill",,,,
Chicago Title & Trust Building,"Chicago, IL",United States,Kohn Pedersen Fox Associates,Built,1992,50,Office,,,230.5 m,230.5 ,Modernism,41.8813,-87.6289,"161 N Clark St, Chicago, IL 60601","Graham, Anderson, Probst & White",,,,
Blue Cross-Blue Shield Tower,"Chicago, IL",United States,,Built,2010,54,Office,,,226.7 m,226.7 ,Modernism,41.8825,-87.6369,"300 E Randolph St, Chicago, IL 60601","James Goettsch, Goettsch Partners",,,,
River Point,"Chicago, IL",United States,Pickard Chilton Architects,Built,2017,52,Office,,,223.1 m,223.1 ,Contemporary,41.8873,-87.6389,"444 W Lake St, Chicago, IL 60606",Pickard Chilton,,,,
BMO Tower,"Chicago, IL",United States,Goettsch Partners,Built,2022,50,Office,,,221.7 m,221.7 ,Contemporary,41.8808,-87.6336,"111 W Monroe St, Chicago, IL 60603",Goettsch Partners,,,,
One Museum Park,"Chicago, IL",United States,Pappageorge / Haymes,Built,2009,62,Residential,,,221.3 m,221.3 ,Contemporary,41.8618,-87.6177,"1211 S Prairie Ave, Chicago, IL 60605",Pappageorge Haymes Partners,,,,
150 North Riverside,"Chicago, IL",United States,Goettsch Partners,Built,2017,53,Office,,,221.1 m,221.1 ,Modernism,41.8843,-87.6365,"150 N Riverside Plaza, Chicago, IL 60606",Goettsch Partners,,,,
Olympia Centre,"Chicago, IL",United States,"Skidmore, Owings & Merrill",Built,1986,63,Mixed use,,,221 m,221 ,Postmodernism,41.8972,-87.6226,"737 N Michigan Ave, Chicago, IL 60611","Skidmore, Owings & Merrill",,,,
AMA Plaza,"Chicago, IL",United States,Ludwig Mies van der Rohe; C.F. Murphy Associates,Built,1973,52,Mixed use,,,211.8 m,211.8 ,Modernism,41.8823,-87.6294,"330 N Wabash Ave, Chicago, IL 60611",Ludwig Mies van der Rohe,,,,
Elysian,"Chicago, IL",United States,Lucien Lagrange Architects,Built,2010,60,Mixed use,,209 m,205.4 m,209 ,Modernism,41.8995,-87.6236,"11 E Walton St, Chicago, IL 60611",Lucien Lagrange Architects,,,,
111 South Wacker,"Chicago, IL",United States,Lohan Caprile Goettsch Architects,Built,2005,52,Office,,,207.6 m,207.6 ,Contemporary,41.8784,-87.6359,"111 S Wacker Dr, Chicago, IL 60606",Lohan Anderson,,,,
181 West Madison,"Chicago, IL",United States,Cesar Pelli & Associates Architects,Built,1990,50,Office,,,207.3 m,207.3 ,Modernism,41.8815,-87.6369,"181 W Madison St, Chicago, IL 60602","Skidmore, Owings & Merrill",,,,
Hyatt Center,"Chicago, IL",United States,Pei Cobb Freed & Partners; A. Epstein & Sons International,Built,2005,48,Office,,,207.1 m,207.1 ,Modernism,41.8783,-87.6383,"71 S Wacker Dr, Chicago, IL 60606",Kohn Pedersen Fox,,,,
One Magnificent Mile,"Chicago, IL",United States,"Skidmore, Owings & Merrill",Built,1983,57,Mixed use,,,205.1 m,205.1 ,Modernism,41.8974,-87.6257,"950 N Michigan Ave, Chicago, IL 60611","Skidmore, Owings & Merrill",,,,
340 on the Park,"Chicago, IL",United States,"Solomon, Cordwell, Buenz and Associates",Built,2007,64,Residential,,,204.9 m,204.9 ,Contemporary,41.8767,-87.6205,"340 E Randolph St, Chicago, IL 60601",Solomon Cordwell Buenz,,,,
Wolf Point East,"Chicago, IL",United States,Pappageorge Haymes Partners,Built,2020,60,Residential,,,203.6 m,203.6 ,Contemporary,41.8895,-87.6389,"313 W Wolf Point Plaza, Chicago, IL 60654",bKL Architecture,,,,
